TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20200101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.648,-5.058,6.832,-3.964,4.762,-4.648,0.0,-5.058,6.832,0.0,-3.964,4.762,0.0,130.889,-9999,-9999,70.185,70.185,0.0,-9999,-9999,247.829,247.829,0.0,-9999,-9999,246.115,246.115,0.0,-9999,-9999,0.684,0.684,0.0,96.569,96.569,0.0,0.001,0.001,0.0,3.445,3.445,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,64.2061,-9999,-9999,-9999,-9999,-9999,-9999,27.8847,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,0.555876,0.0,-9999,-9999,0.555876,0.0,-9999,-9999,0.566546,0.0,0.00422536,0.549968,0.555876,0.559316,0.566859,0.578122,0.578122,0.578122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55947,0.803172,0.0,-9999,-9999,-1.17067,1.43912,0.0,-9999,-9999,1.55947,0.803172,0.0,-9999,-9999,-1.17067,1.43912,0.0,-9999,-9999,1.55036,1.55947,1.56477,1.5764,1.59377,1.59377,1.59377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.17067,-1.17067,-1.17067,-1.17067,-1.17067,-1.17067,-1.17067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84619,0.848484,0.843307,0.0069378,0.713379,0.830387,0.832947,0.848484,0.851514,0.873405,0.887004,0.268068,0.292608,0.276761,0.00960197,0.136984,0.249172,0.252266,0.283657,0.293072,0.306546,0.318802,0.335645,0.297014,0.335282,0.010103,0.290817,0.297014,0.29733,0.306186,0.337865,0.35425,0.463795,0.421631,0.420665,0.431854,0.00252823,0.420241,0.420773,0.421631,0.427699,0.432745,0.437267,0.465293,-9999,-9999
20200102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.666,2.098,0.709,3.614,0.784,2.666,0.0,2.098,0.709,0.0,3.614,0.784,0.0,131.512,-9999,-9999,72.5,72.5,0.0,-9999,-9999,286.892,286.892,0.0,-9999,-9999,298.078,298.078,0.0,-9999,-9999,1.055,1.055,0.0,96.334,96.334,0.0,0.228,0.228,0.0,3.488,3.488,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,69.8489,-9999,-9999,-9999,-9999,-9999,-9999,33.0784,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,0.183858,0.0,-9999,-9999,0.183858,0.0,-9999,-9999,0.18739,0.0,0.00177052,0.165889,0.183858,0.183858,0.183858,0.19529,0.19529,0.19529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53163,0.618233,0.0,-9999,-9999,-2.08026,1.30124,0.0,-9999,-9999,1.53163,0.618233,0.0,-9999,-9999,-2.08026,1.30124,0.0,-9999,-9999,1.50393,1.53163,1.53163,1.53163,1.54926,1.54926,1.54926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.08026,-2.08026,-2.08026,-2.08026,-2.08026,-2.08026,-2.08026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43463,1.43674,1.43176,0.00684403,1.3036,1.41999,1.42414,1.43674,1.43951,1.45931,1.47108,1.25077,1.25288,1.24437,0.00637947,1.11974,1.23852,1.24331,1.25288,1.25525,1.26335,1.27441,0.677879,0.61835,0.674763,0.0142869,0.610471,0.61835,0.619796,0.63286,0.681528,0.705873,0.860701,0.434568,0.433591,0.444885,0.00255116,0.433162,0.4337,0.434568,0.440634,0.445798,0.450364,0.478649,-9999,-9999
20200103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.363,-0.631,0.827,0.083,0.383,-0.363,0.0,-0.631,0.827,0.0,0.083,0.383,0.0,132.195,-9999,-9999,38.599,38.599,0.0,-9999,-9999,288.812,288.812,0.0,-9999,-9999,300.632,300.632,0.0,-9999,-9999,1.004,1.004,0.0,97.406,97.406,0.0,0.272,0.272,0.0,1.747,1.747,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,49.7205,-9999,-9999,-9999,-9999,-9999,-9999,56.1993,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-0.6796,0.0,-9999,-9999,-0.6796,0.0,-9999,-9999,-0.674904,0.0,0.00399363,-0.714052,-0.704025,-0.702207,-0.6796,-0.656807,-0.656807,-0.633156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05416,0.814129,0.0,-9999,-9999,-3.50332,1.20992,0.0,-9999,-9999,1.05416,0.814129,0.0,-9999,-9999,-3.50332,1.20992,0.0,-9999,-9999,1.00104,1.0165,1.0193,1.05416,1.0893,1.0893,1.12577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.50332,-3.50332,-3.50332,-3.50332,-3.50332,-3.50332,-3.50332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13927,1.14181,1.13564,0.00793463,0.985924,1.12171,1.12499,1.14181,1.14515,1.16911,1.18373,1.81887,1.82141,1.81055,0.00667348,1.68995,1.80086,1.80827,1.82192,1.82617,1.82859,1.83576,0.474951,0.422003,0.473212,0.0132633,0.413543,0.422003,0.422511,0.434683,0.477998,0.500123,0.643915,0.235199,0.234595,0.241684,0.0016062,0.23433,0.234662,0.235199,0.239243,0.242191,0.245047,0.262841,-9999,-9999
20200104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.323,-3.347,1.456,-3.284,0.339,-3.323,0.0,-3.347,1.456,0.0,-3.284,0.339,0.0,132.936,-9999,-9999,64.828,64.828,0.0,-9999,-9999,259.683,259.683,0.0,-9999,-9999,261.883,261.883,0.0,-9999,-9999,0.521,0.521,0.0,98.034,98.034,0.0,0.113,0.113,0.0,2.732,2.732,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,64.2061,-9999,-9999,-9999,-9999,-9999,-9999,27.8847,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,0.555876,0.0,-9999,-9999,0.555876,0.0,-9999,-9999,0.566546,0.0,0.00422536,0.549968,0.555876,0.559316,0.566859,0.578122,0.578122,0.578122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55947,0.803172,0.0,-9999,-9999,-1.17067,1.43912,0.0,-9999,-9999,1.55947,0.803172,0.0,-9999,-9999,-1.17067,1.43912,0.0,-9999,-9999,1.55036,1.55947,1.56477,1.5764,1.59377,1.59377,1.59377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.17067,-1.17067,-1.17067,-1.17067,-1.17067,-1.17067,-1.17067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.883137,0.885828,0.879405,0.00818648,0.725005,0.864557,0.867571,0.885828,0.889381,0.914968,0.930836,0.305015,0.329952,0.31286,0.0107245,0.148964,0.282789,0.286435,0.321352,0.330496,0.34811,0.364107,0.321806,0.278057,0.321502,0.0115261,0.270346,0.278057,0.278143,0.287967,0.324225,0.342921,0.467996,0.390624,0.389707,0.400367,0.00240997,0.389304,0.389809,0.390624,0.396476,0.401198,0.405503,0.432214,-9999,-9999
20200105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.398,-1.971,2.361,-0.444,1.689,-1.398,0.0,-1.971,2.361,0.0,-0.444,1.689,0.0,133.736,-9999,-9999,42.977,42.977,0.0,-9999,-9999,271.926,271.926,0.0,-9999,-9999,278.17,278.17,0.0,-9999,-9999,0.946,0.946,0.0,97.563,97.563,0.0,0.727,0.727,0.0,4.351,4.351,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,69.8489,-9999,-9999,-9999,-9999,-9999,-9999,33.0784,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,0.183858,0.0,-9999,-9999,0.183858,0.0,-9999,-9999,0.18739,0.0,0.00177052,0.165889,0.183858,0.183858,0.183858,0.19529,0.19529,0.19529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53163,0.618233,0.0,-9999,-9999,-2.08026,1.30124,0.0,-9999,-9999,1.53163,0.618233,0.0,-9999,-9999,-2.08026,1.30124,0.0,-9999,-9999,1.50393,1.53163,1.53163,1.53163,1.54926,1.54926,1.54926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.08026,-2.08026,-2.08026,-2.08026,-2.08026,-2.08026,-2.08026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0534,1.05596,1.0498,0.00793434,0.900196,1.03568,1.03856,1.05596,1.05934,1.08361,1.09849,0.869546,0.872107,0.862414,0.00743169,0.716339,0.854704,0.862941,0.870639,0.873292,0.885531,0.901168,0.426281,0.3768,0.425041,0.0125826,0.368729,0.3768,0.377172,0.38856,0.429106,0.449913,0.58638,0.261033,0.260379,0.26803,0.00173245,0.260092,0.260452,0.261033,0.265353,0.268592,0.271676,0.290871,-9999,-9999
20200106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.924,-1.539,1.879,0.101,2.174,-0.924,0.0,-1.539,1.879,0.0,0.101,2.174,0.0,134.595,-9999,-9999,86.582,86.582,0.0,-9999,-9999,231.278,231.278,0.0,-9999,-9999,224.098,224.098,0.0,-9999,-9999,1.498,1.498,0.0,98.066,98.066,0.0,0.005,0.005,0.0,3.878,3.878,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,49.7205,-9999,-9999,-9999,-9999,-9999,-9999,56.1993,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-0.6796,0.0,-9999,-9999,-0.6796,0.0,-9999,-9999,-0.674904,0.0,0.00399363,-0.714052,-0.704025,-0.702207,-0.6796,-0.656807,-0.656807,-0.633156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05416,0.814129,0.0,-9999,-9999,-3.50332,1.20992,0.0,-9999,-9999,1.05416,0.814129,0.0,-9999,-9999,-3.50332,1.20992,0.0,-9999,-9999,1.00104,1.0165,1.0193,1.05416,1.0893,1.0893,1.12577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.50332,-3.50332,-3.50332,-3.50332,-3.50332,-3.50332,-3.50332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09485,1.09739,1.09128,0.00788031,0.942703,1.07732,1.08032,1.09739,1.10073,1.12469,1.13935,1.77445,1.77699,1.76619,0.00661854,1.64673,1.75643,1.76385,1.7775,1.7815,1.7842,1.79138,0.451539,0.400654,0.450077,0.012845,0.392492,0.400654,0.401115,0.412819,0.454464,0.47579,0.615086,0.516668,0.515551,0.528414,0.00290426,0.51506,0.515675,0.516668,0.523437,0.529487,0.534693,0.566904,-9999,-9999
20200107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.058,-2.977,2.7,-0.526,0.684,-2.058,0.0,-2.977,2.7,0.0,-0.526,0.684,0.0,135.512,-9999,-9999,80.617,80.617,0.0,-9999,-9999,236.367,236.367,0.0,-9999,-9999,230.867,230.867,0.0,-9999,-9999,1.342,1.342,0.0,97.777,97.777,0.0,0.092,0.092,0.0,4.752,4.752,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.2061,-9999,-9999,-9999,-9999,-9999,-9999,27.8847,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,0.555876,0.0,-9999,-9999,0.555876,0.0,-9999,-9999,0.566546,0.0,0.00422536,0.549968,0.555876,0.559316,0.566859,0.578122,0.578122,0.578122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55947,0.803172,0.0,-9999,-9999,-1.17067,1.43912,0.0,-9999,-9999,1.55947,0.803172,0.0,-9999,-9999,-1.17067,1.43912,0.0,-9999,-9999,1.55036,1.55947,1.56477,1.5764,1.59377,1.59377,1.59377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.17067,-1.17067,-1.17067,-1.17067,-1.17067,-1.17067,-1.17067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998071,1.00066,0.994448,0.00797911,0.843989,0.980159,0.983068,1.00066,1.00408,1.02865,1.04378,0.419949,0.444785,0.427903,0.0105455,0.267921,0.398517,0.402037,0.436095,0.445309,0.461793,0.476637,0.39316,0.345559,0.392191,0.0122189,0.337613,0.345559,0.345815,0.356724,0.395854,0.415955,0.548486,0.482071,0.48101,0.493259,0.00276646,0.480543,0.481128,0.482071,0.488581,0.494265,0.49922,0.529898,-9999,-9999
20200108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-12.161,-11.505,2.724,-13.253,2.268,-12.161,0.0,-11.505,2.724,0.0,-13.253,2.268,0.0,136.486,-9999,-9999,89.021,89.021,0.0,-9999,-9999,209.77,209.77,0.0,-9999,-9999,195.488,195.488,0.0,-9999,-9999,0.477,0.477,0.0,99.065,99.065,0.0,0.032,0.032,0.0,3.306,3.306,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,69.8489,-9999,-9999,-9999,-9999,-9999,-9999,33.0784,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,0.183858,0.0,-9999,-9999,0.183858,0.0,-9999,-9999,0.18739,0.0,0.00177052,0.165889,0.183858,0.183858,0.183858,0.19529,0.19529,0.19529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53163,0.618233,0.0,-9999,-9999,-2.08026,1.30124,0.0,-9999,-9999,1.53163,0.618233,0.0,-9999,-9999,-2.08026,1.30124,0.0,-9999,-9999,1.50393,1.53163,1.53163,1.53163,1.54926,1.54926,1.54926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.08026,-2.08026,-2.08026,-2.08026,-2.08026,-2.08026,-2.08026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327705,0.329702,0.325738,0.00562999,0.221692,0.312938,0.316277,0.329702,0.332351,0.351762,0.364266,0.143847,0.145845,0.138348,0.00514622,0.0378347,0.13242,0.136187,0.145845,0.148201,0.154207,0.167038,0.0733152,0.057382,0.0751614,0.00515821,0.0542633,0.0571391,0.0573989,0.0605363,0.0741542,0.0815089,0.137148,0.530515,0.529382,0.542418,0.00294297,0.528883,0.529508,0.530515,0.53733,0.543515,0.548793,0.581436,-9999,-9999
20200109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.13,-0.56,5.687,1.182,2.64,0.13,0.0,-0.56,5.687,0.0,1.182,2.64,0.0,137.519,-9999,-9999,17.132,17.132,0.0,-9999,-9999,287.938,287.938,0.0,-9999,-9999,299.469,299.469,0.0,-9999,-9999,0.99,0.99,0.0,97.701,97.701,0.0,0.934,0.934,0.0,4.392,4.392,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,49.7205,-9999,-9999,-9999,-9999,-9999,-9999,56.1993,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29,19,0,0,-0.6796,0.0,-9999,-9999,-0.6796,0.0,-9999,-9999,-0.674904,0.0,0.00399363,-0.714052,-0.704025,-0.702207,-0.6796,-0.656807,-0.656807,-0.633156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11427,0.757773,0.0,-9999,-9999,-3.3552,1.34144,0.0,-9999,-9999,1.11427,0.757773,0.0,-9999,-9999,-3.3552,1.34144,0.0,-9999,-9999,1.05932,1.07531,1.07821,1.11427,1.15062,1.15062,1.18835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3552,-3.3552,-3.3552,-3.3552,-3.3552,-3.3552,-3.3552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22213,1.22431,1.21929,0.00689131,1.09037,1.20698,1.21126,1.22431,1.2272,1.2479,1.26043,1.90173,1.90391,1.8942,0.00577745,1.79439,1.88244,1.88946,1.90391,1.90693,1.91347,1.92103,0.555926,0.504837,0.554068,0.0126472,0.497872,0.504837,0.505933,0.517196,0.559029,0.580186,0.717438,0.105538,0.105244,0.108725,0.000790839,0.105116,0.105277,0.105538,0.107578,0.108953,0.110352,0.119111,-9999,-9999
20200110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.43,-1.317,1.384,-1.603,1.217,-1.43,0.0,-1.317,1.384,0.0,-1.603,1.217,0.0,138.609,-9999,-9999,85.424,85.424,0.0,-9999,-9999,255.801,255.801,0.0,-9999,-9999,256.719,256.719,0.0,-9999,-9999,0.938,0.938,0.0,98.306,98.306,0.0,3.854,3.854,0.0,2.545,2.545,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,64.2061,-9999,-9999,-9999,-9999,-9999,-9999,27.8847,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29,19,0,0,0.555876,0.0,-9999,-9999,0.555876,0.0,-9999,-9999,0.566546,0.0,0.00422536,0.549968,0.555876,0.559316,0.566859,0.578122,0.578122,0.578122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56324,0.817118,0.0,-9999,-9999,-1.03274,1.52233,0.0,-9999,-9999,1.56324,0.817118,0.0,-9999,-9999,-1.03274,1.52233,0.0,-9999,-9999,1.55382,1.56324,1.56873,1.58076,1.59872,1.59872,1.59872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.03274,-1.03274,-1.03274,-1.03274,-1.03274,-1.03274,-1.03274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04475,1.04736,1.04105,0.00807129,0.888731,1.02671,1.02964,1.04736,1.0508,1.07549,1.09064,0.466629,0.491481,0.474505,0.0106321,0.312702,0.445042,0.44859,0.482805,0.492008,0.508628,0.523545,0.417111,0.367392,0.415902,0.0126675,0.359148,0.367392,0.367696,0.379116,0.419932,0.440867,0.578252,0.509746,0.508644,0.521334,0.00286498,0.50816,0.508767,0.509746,0.516423,0.522392,0.527528,0.559302,-9999,-9999
