TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20120101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.76,5.055,1.933,9.147,4.165,6.76,0.0,5.055,1.933,0.0,9.147,4.165,0.0,174.576,-9999,-9999,120.416,120.416,0.0,-9999,-9999,301.019,301.019,0.0,-9999,-9999,295.637,295.637,0.0,-9999,-9999,4.264,4.264,0.0,102.27,102.27,0.0,0.0,0.0,0.0,2.202,2.202,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,41.5229,-9999,58.6809,-9999,-9999,-9999,-9999,128.803,-9999,181.196,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,3.04647,0.0,-9999,-9999,3.0428,0.0,-9999,-9999,3.04794,0.0,0.0032604,3.0142,3.02716,3.03329,3.04951,3.06432,3.06432,3.07354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1664,0.303734,0.0,-9999,-9999,2.61277,0.263228,0.0,-9999,-9999,3.14849,0.315634,0.0,-9999,-9999,2.62936,0.245804,0.0,-9999,-9999,3.11117,3.11117,3.12085,3.14476,3.1664,3.17164,3.17968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56311,2.57489,2.57669,2.62936,2.71784,2.71784,2.71784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5078,2.50577,2.5941,0.0148567,2.48719,2.5078,2.52465,2.5496,2.66424,2.69454,2.77456,-0.494388,-0.537027,-0.453846,0.0177654,-0.58635,-0.561948,-0.533818,-0.514721,-0.360412,-0.337787,-0.217889,2.72463,2.63725,2.7454,0.018598,2.53156,2.60071,2.63893,2.73164,2.80347,2.89057,2.92607,0.227673,0.210179,0.272987,0.0136176,0.208247,0.210408,0.214392,0.23395,0.258702,0.409172,0.443043,-9999,-9999
20120102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.295,5.405,3.028,9.941,3.519,7.295,0.0,5.405,3.028,0.0,9.941,3.519,0.0,175.2,-9999,-9999,71.543,71.543,0.0,-9999,-9999,322.006,322.006,0.0,-9999,-9999,319.723,319.723,0.0,-9999,-9999,2.535,2.535,0.0,102.523,102.523,0.0,0.0,0.0,0.0,1.824,1.824,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,42.5628,-9999,59.8943,-9999,-9999,-9999,-9999,125.13,-9999,175.275,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,3.16041,0.0,-9999,-9999,3.13641,0.0,-9999,-9999,3.13574,0.0,0.00265367,3.09486,3.12171,3.1324,3.13641,3.13641,3.15365,3.16041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.40776,0.496818,0.0,-9999,-9999,2.53839,0.423615,0.0,-9999,-9999,3.36811,0.535039,0.0,-9999,-9999,2.53839,0.423615,0.0,-9999,-9999,3.32927,3.36811,3.36811,3.36811,3.37557,3.39463,3.40776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49668,2.49668,2.4999,2.53839,2.53839,2.53839,2.53839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56328,2.56137,2.64836,0.0146144,2.54389,2.56328,2.57913,2.6026,2.71606,2.74554,2.82813,-0.551215,-0.575036,-0.487378,0.0151481,-0.592522,-0.573125,-0.557278,-0.536011,-0.382914,-0.376438,-0.310451,2.76746,2.68088,2.78984,0.0182457,2.58539,2.65235,2.68158,2.77198,2.84492,2.93001,2.97561,0.138678,0.128161,0.182932,0.0127784,0.126262,0.128156,0.128581,0.144767,0.162984,0.295546,0.355671,-9999,-9999
20120103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.34,6.42,2.723,8.627,3.543,7.34,0.0,6.42,2.723,0.0,8.627,3.543,0.0,175.883,-9999,-9999,100.862,100.862,0.0,-9999,-9999,325.457,325.457,0.0,-9999,-9999,323.684,323.684,0.0,-9999,-9999,2.232,2.232,0.0,102.764,102.764,0.0,0.047,0.047,0.0,1.061,1.061,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,41.6425,-9999,58.4033,-9999,-9999,-9999,-9999,125.513,-9999,175.45,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,3.14011,0.0,-9999,-9999,3.1408,0.0,-9999,-9999,3.15734,0.0,0.00683918,3.08783,3.11331,3.1206,3.1408,3.19988,3.19988,3.19988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26141,0.365171,0.0,-9999,-9999,2.69631,0.325755,0.0,-9999,-9999,3.24002,0.380224,0.0,-9999,-9999,2.72786,0.289463,0.0,-9999,-9999,3.24002,3.24002,3.24002,3.24002,3.26849,3.27001,3.27778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.60286,2.60325,2.63917,2.72786,2.86451,2.86451,2.86451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56699,2.56506,2.65246,0.0146856,2.54738,2.56699,2.583,2.6067,2.72062,2.75025,2.83291,-0.527208,-0.57574,-0.504879,0.0208704,-0.650132,-0.629293,-0.616747,-0.593187,-0.392684,-0.37035,-0.239824,2.77257,2.68578,2.79479,0.0182912,2.58935,2.65673,2.68651,2.77711,2.8502,2.93525,2.98101,0.192194,0.17746,0.237301,0.0133081,0.175545,0.17779,0.179753,0.198444,0.220513,0.354905,0.409234,-9999,-9999
20120104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.256,7.486,4.196,11.734,4.461,9.256,0.0,7.486,4.196,0.0,11.734,4.461,0.0,176.622,-9999,-9999,116.546,116.546,0.0,-9999,-9999,317.466,317.466,0.0,-9999,-9999,314.513,314.513,0.0,-9999,-9999,5.336,5.336,0.0,102.812,102.812,0.0,0.0,0.0,0.0,1.13,1.13,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,41.5229,-9999,58.0401,-9999,-9999,-9999,-9999,128.803,-9999,179.382,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,3.04647,0.0,-9999,-9999,3.0428,0.0,-9999,-9999,3.04794,0.0,0.0032604,3.0142,3.02716,3.03329,3.04951,3.06432,3.06432,3.07354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1664,0.303734,0.0,-9999,-9999,2.61277,0.263228,0.0,-9999,-9999,3.14849,0.315634,0.0,-9999,-9999,2.62936,0.245804,0.0,-9999,-9999,3.11117,3.11117,3.12085,3.14476,3.1664,3.17164,3.17968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56311,2.57489,2.57669,2.62936,2.71784,2.71784,2.71784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76534,2.76388,2.84572,0.0137494,2.75056,2.76534,2.77741,2.79527,2.90414,2.93055,3.02252,-0.229204,-0.278915,-0.202218,0.0166933,-0.321187,-0.305117,-0.281061,-0.269056,-0.121204,-0.101781,0.023508,2.92226,2.83872,2.95069,0.0175559,2.77304,2.83215,2.84263,2.92624,3.02988,3.0695,3.15429,0.218555,0.202454,0.264144,0.0135614,0.200042,0.201856,0.207104,0.224534,0.251472,0.395903,0.436621,-9999,-9999
20120105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.516,5.865,3.5,12.228,5.996,8.516,0.0,5.865,3.5,0.0,12.228,5.996,0.0,177.42,-9999,-9999,117.825,117.825,0.0,-9999,-9999,311.612,311.612,0.0,-9999,-9999,307.795,307.795,0.0,-9999,-9999,4.534,4.534,0.0,102.464,102.464,0.0,0.0,0.0,0.0,1.951,1.951,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,42.5628,-9999,59.2296,-9999,-9999,-9999,-9999,125.13,-9999,173.906,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,3.16041,0.0,-9999,-9999,3.13641,0.0,-9999,-9999,3.13574,0.0,0.00265367,3.09486,3.12171,3.1324,3.13641,3.13641,3.15365,3.16041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.40776,0.496818,0.0,-9999,-9999,2.53839,0.423615,0.0,-9999,-9999,3.36811,0.535039,0.0,-9999,-9999,2.53839,0.423615,0.0,-9999,-9999,3.32927,3.36811,3.36811,3.36811,3.37557,3.39463,3.40776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49668,2.49668,2.4999,2.53839,2.53839,2.53839,2.53839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68973,2.68816,2.77097,0.0139015,2.67379,2.68973,2.70276,2.7221,2.83166,2.85885,2.94749,-0.420789,-0.448254,-0.36477,0.0143555,-0.462615,-0.446684,-0.433647,-0.416126,-0.268669,-0.26123,-0.194796,2.86014,2.77594,2.88683,0.017604,2.70701,2.76739,2.77865,2.86428,2.94427,3.00483,3.08351,0.218036,0.203016,0.264319,0.0136399,0.199769,0.201183,0.208658,0.223588,0.254247,0.397198,0.439485,-9999,-9999
20120106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.179,4.947,2.382,10.303,4.191,7.179,0.0,4.947,2.382,0.0,10.303,4.191,0.0,178.274,-9999,-9999,110.093,110.093,0.0,-9999,-9999,308.285,308.285,0.0,-9999,-9999,303.976,303.976,0.0,-9999,-9999,2.654,2.654,0.0,102.127,102.127,0.0,0.003,0.003,0.0,2.156,2.156,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,41.6425,-9999,57.6903,-9999,-9999,-9999,-9999,125.513,-9999,173.659,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,3.14011,0.0,-9999,-9999,3.1408,0.0,-9999,-9999,3.15734,0.0,0.00683918,3.08783,3.11331,3.1206,3.1408,3.19988,3.19988,3.19988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26141,0.365171,0.0,-9999,-9999,2.69631,0.325755,0.0,-9999,-9999,3.24002,0.380224,0.0,-9999,-9999,2.72786,0.289463,0.0,-9999,-9999,3.24002,3.24002,3.24002,3.24002,3.26849,3.27001,3.27778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.60286,2.60325,2.63917,2.72786,2.86451,2.86451,2.86451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55119,2.54927,2.63634,0.0146303,2.53166,2.55119,2.56716,2.59081,2.7043,2.73389,2.81595,-0.543309,-0.591532,-0.521003,0.0208148,-0.665864,-0.645104,-0.632593,-0.609074,-0.409005,-0.386719,-0.256716,2.75721,2.67056,2.77936,0.0182906,2.5735,2.64071,2.67145,2.76177,2.83488,2.92153,2.96396,0.208875,0.192819,0.253931,0.0134196,0.190935,0.193122,0.196102,0.215072,0.238207,0.380908,0.424689,-9999,-9999
20120107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.92,8.056,6.057,14.931,4.97,10.92,0.0,8.056,6.057,0.0,14.931,4.97,0.0,179.186,-9999,-9999,123.442,123.442,0.0,-9999,-9999,294.559,294.559,0.0,-9999,-9999,288.224,288.224,0.0,-9999,-9999,9.91,9.91,0.0,102.181,102.181,0.0,0.0,0.0,0.0,4.4,4.4,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,41.5229,-9999,57.2603,-9999,-9999,-9999,-9999,128.803,-9999,177.391,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,3.04647,0.0,-9999,-9999,3.0428,0.0,-9999,-9999,3.04794,0.0,0.0032604,3.0142,3.02716,3.03329,3.04951,3.06432,3.06432,3.07354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1664,0.303734,0.0,-9999,-9999,2.61277,0.263228,0.0,-9999,-9999,3.14849,0.315634,0.0,-9999,-9999,2.62936,0.245804,0.0,-9999,-9999,3.11117,3.11117,3.12085,3.14476,3.1664,3.17164,3.17968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56311,2.57489,2.57669,2.62936,2.71784,2.71784,2.71784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93801,2.93705,3.01271,0.012841,2.92944,2.93981,2.94609,2.95793,3.06222,3.08404,3.18439,-0.0509796,-0.10575,-0.035229,0.015791,-0.144105,-0.129185,-0.112382,-0.105301,0.0350537,0.0517145,0.180074,3.04674,2.96669,3.08131,0.0177532,2.93006,2.96035,2.99682,3.05017,3.11916,3.23359,3.29953,0.203881,0.199451,0.255748,0.0139592,0.186896,0.188519,0.199182,0.206025,0.264613,0.394557,0.438543,-9999,-9999
20120108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.43,8.803,2.68,12.708,3.737,10.43,0.0,8.803,2.68,0.0,12.708,3.737,0.0,180.154,-9999,-9999,126.814,126.814,0.0,-9999,-9999,289.945,289.945,0.0,-9999,-9999,282.929,282.929,0.0,-9999,-9999,10.099,10.099,0.0,102.366,102.366,0.0,0.0,0.0,0.0,1.843,1.843,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,42.5628,-9999,58.5518,-9999,-9999,-9999,-9999,125.13,-9999,171.913,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,3.16041,0.0,-9999,-9999,3.13641,0.0,-9999,-9999,3.13574,0.0,0.00265367,3.09486,3.12171,3.1324,3.13641,3.13641,3.15365,3.16041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.40776,0.496818,0.0,-9999,-9999,2.53839,0.423615,0.0,-9999,-9999,3.36811,0.535039,0.0,-9999,-9999,2.53839,0.423615,0.0,-9999,-9999,3.32927,3.36811,3.36811,3.36811,3.37557,3.39463,3.40776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49668,2.49668,2.4999,2.53839,2.53839,2.53839,2.53839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88576,2.88453,2.96417,0.0134263,2.87474,2.88576,2.89599,2.91108,3.01815,3.04307,3.14047,-0.219338,-0.251882,-0.171569,0.0137775,-0.263194,-0.250648,-0.240424,-0.225334,-0.0833972,-0.075167,-0.00594454,3.01836,2.93619,3.04992,0.01768,2.87877,2.93126,2.95325,3.02205,3.10919,3.19771,3.26434,0.226792,0.213692,0.273753,0.0136455,0.208337,0.208745,0.215735,0.230645,0.270784,0.41428,0.449237,-9999,-9999
20120109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.99,5.896,3.767,10.92,4.507,7.99,0.0,5.896,3.767,0.0,10.92,4.507,0.0,181.178,-9999,-9999,127.728,127.728,0.0,-9999,-9999,293.17,293.17,0.0,-9999,-9999,286.63,286.63,0.0,-9999,-9999,6.877,6.877,0.0,102.378,102.378,0.0,0.0,0.0,0.0,1.575,1.575,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,41.6425,-9999,57.1461,-9999,-9999,-9999,-9999,125.513,-9999,172.019,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,3.14011,0.0,-9999,-9999,3.1408,0.0,-9999,-9999,3.15734,0.0,0.00683918,3.08783,3.11331,3.1206,3.1408,3.19988,3.19988,3.19988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26141,0.365171,0.0,-9999,-9999,2.69631,0.325755,0.0,-9999,-9999,3.24002,0.380224,0.0,-9999,-9999,2.72786,0.289463,0.0,-9999,-9999,3.24002,3.24002,3.24002,3.24002,3.26849,3.27001,3.27778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.60286,2.60325,2.63917,2.72786,2.86451,2.86451,2.86451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63522,2.63349,2.71829,0.0142341,2.61768,2.63522,2.64956,2.6708,2.78224,2.81049,2.89649,-0.456753,-0.507309,-0.439047,0.0204778,-0.580085,-0.558284,-0.550209,-0.529088,-0.331065,-0.31011,-0.179333,2.82101,2.7357,2.84574,0.017845,2.65485,2.71846,2.73731,2.82533,2.89657,2.97189,3.03782,0.236395,0.219584,0.282073,0.0136806,0.216716,0.218061,0.224854,0.241974,0.272542,0.422971,0.454094,-9999,-9999
20120110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.615,5.557,4.503,10.495,5.169,7.615,0.0,5.557,4.503,0.0,10.495,5.169,0.0,182.258,-9999,-9999,122.051,122.051,0.0,-9999,-9999,295.091,295.091,0.0,-9999,-9999,288.835,288.835,0.0,-9999,-9999,5.766,5.766,0.0,102.131,102.131,0.0,0.0,0.0,0.0,1.017,1.017,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,41.5229,-9999,56.982,-9999,-9999,-9999,-9999,128.803,-9999,176.528,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,3.04647,0.0,-9999,-9999,3.0428,0.0,-9999,-9999,3.04794,0.0,0.0032604,3.0142,3.02716,3.03329,3.04951,3.06432,3.06432,3.07354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1664,0.303734,0.0,-9999,-9999,2.61277,0.263228,0.0,-9999,-9999,3.14849,0.315634,0.0,-9999,-9999,2.62936,0.245804,0.0,-9999,-9999,3.11117,3.11117,3.12085,3.14476,3.1664,3.17164,3.17968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56311,2.57489,2.57669,2.62936,2.71784,2.71784,2.71784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59717,2.5954,2.68048,0.0142823,2.57918,2.59717,2.6119,2.63374,2.7453,2.77386,2.85822,-0.402135,-0.447399,-0.367464,0.0172093,-0.492679,-0.473056,-0.446569,-0.430584,-0.279647,-0.258471,-0.137001,2.78879,2.70326,2.81277,0.0179354,2.61747,2.68186,2.70431,2.79319,2.86497,2.9442,3.0013,0.228164,0.211408,0.274054,0.0137212,0.208941,0.210654,0.216783,0.234064,0.26205,0.411145,0.447706,-9999,-9999
