system:index,afri1600,afri2100,andwi,arvi,atsavi,avi,aweinsh,aweish,bai,bcc,bi,bitm,bixs,bndvi,bwdrvi,cig,cvi,day,dbsi,dsi,dswi1,dswi2,dswi3,dswi4,dswi5,dvi,ebi,embi,evi,evi2,exg,exgr,exr,fcvi,gari,gbndvi,gcc,gdvi,gemi,gli,gndvi,gosavi,grndvi,grvi,gsavi,gvmi,hour,iavi,ikaw,ipvi,kipvi,kndvi,krvi,kvari,lswi,mbi,mbwi,mcari1,mcari2,mgrvi,minute,mlswi26,mlswi27,mndvi,mndwi,mnli,month,mrbvi,msavi,msi,msr,mtvi1,mtvi2,muwir,nbli,nblioli,ndbai,nddi,ndii,ndmi,ndpi,ndponi,ndsoi,ndti,ndvi,ndvimndwi,ndwi,ndwins,ndyi,ngrdi,nirv,nli,nmdi,normg,normnir,normr,nrfig,nrfir,nsds,nsdsi1,nsdsi2,nsdsi3,nwi,ocvi,osavi,rcc,rdvi,rgbvi,rgri,ri,ri4xs,sarvi,savi,savi2,sevi,si,slavi,sr,sr2,swm,tdvi,tgi,trivi,tsavi,tvi,vari,vig,wdrvi,wdvi,wi1,wi2,wi2015,wri,year,.geo
1_1_LT05_123034_20070205,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,49,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,"{""type"":""Point"",""coordinates"":[114.693,37.88889999999999]}"
1_1_LT05_123034_20070221,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,49,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,"{""type"":""Point"",""coordinates"":[114.693,37.88889999999999]}"
1_1_LT05_123034_20070325,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,49,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,"{""type"":""Point"",""coordinates"":[114.693,37.88889999999999]}"
1_1_LT05_123034_20070410,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,49,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,"{""type"":""Point"",""coordinates"":[114.693,37.88889999999999]}"
1_1_LT05_123034_20070426,0.5472391062533907,0.7384966277411158,-0.041790438912490895,0.3103474159391819,0.2474449355407303,0.39372768288815024,0.41052797887547654,-0.13344761435832272,-0.012912153748411708,0.32806744905915547,-0.22383106519592275,0.21590144323405186,0.21761910023326292,0.3103474159391819,-0.6806634057478631,0.8074059961632309,1.7137822438257773,26,-0.42212714073970514,0.44339244506172454,2.2558113647869096,0.8012747555949457,0.8451392529095638,1.0547163824546324,1.6047440161460453,0.1918640756035578,0.616302080188261,-0.3718749218305789,0.4437898127008999,0.2508947570802825,0.02249482528589583,-0.029445584498094028,0.05194040978398985,0.18777814167725543,1.0074103578329454,-0.038294660640862156,0.34490946377033577,0.5682793254546592,0.5589845966533372,0.0258192082424337,0.28754748602244584,0.2290845563447075,-0.03751887023621689,1.807405996163231,0.2216156699777988,0.5615123792715223,2,0.31322990495146225,-0.0015941358331083187,0.6558907029136648,0.5484647198109932,0.09692943962198668,1.2146958961834489,0.00143786249764864,0.3856521204997448,0.008387303736580545,-0.46906834815756027,0.29435563494282085,0.22623474775240576,0.053197882535823325,49,0.5384001719686433,0.6616968761323364,0.5374789485762509,0.11034573491237555,-0.07105920098371642,4,-0.00318816471226726,0.24574606127695983,0.44339244506172454,0.5315453467003572,0.29435563494282085,0.22623474775240576,0.005906777861968062,-0.9983736345666514,-0.9983736345666514,-0.9986253609270118,25.19238461699101,0.3856521204997448,0.3856521204997448,0.3778902319033657,-0.11034573491237555,-0.2956227184900923,-0.02661861035640832,0.31178140582732955,0.20143567091495407,-0.28754748602244584,0.29184888268765474,0.02502551195976272,0.02661861035640832,0.12585142971256336,-0.13037423055171654,0.7505368995610722,0.26628515896977195,0.48124056488189154,0.2524742761483365,0.2956227184900923,0.27114625080980903,0.19152642019130173,0.3213976573109467,0.47405873407090027,0.19152642019130173,-0.5363978708982113,1.6992660512037534,0.2474449355407303,0.32702308717050876,0.2445803727844138,0.0516085365144254,0.9481631433636863,-0.02661861035640832,18.031160628823795,0.23661318708629964,0.23754631472350274,1.906226991370982,4.650151025511973,0.7841468789816793,1.2115431519329325,1.906226991370982,1.807405996163231,0.7480167583577594,0.3077249168001575,1.0600842916137243,11.975212897077512,0.31178140582732955,0.9009843233782048,0.05201238640588758,0.02661861035640832,-0.6797992707958148,0.1918640756035578,0.2956227184900923,0.2726213309015093,-4.381028761118169,0.7468712677688497,2007,"{""type"":""Point"",""coordinates"":[114.693,37.88889999999999]}"
1_1_LT05_124034_20070127,0.2369506217598032,0.4744332454627051,-0.22008655603477262,0.3143563273583442,0.162842187431135,0.250194342244514,0.04075537007623889,-0.25513625873570517,0.11986581321473952,0.3083028081878266,0.009705648247685049,0.12293311460686528,0.12741917071751938,0.3143563273583442,-0.6782430914941985,0.8071307826103545,2.0145876858767267,27,0.018783638779497472,0.9350489426129294,1.0706241687866263,1.688709653535965,1.51604968214461,0.8980838925929415,1.001784316714197,0.08327828144853873,0.3397085905071513,-0.026273122515592006,0.17797077213876553,0.13528383319200188,-0.006680613087674716,-0.060586332909784,0.05390571982210929,0.09473638182973314,0.6482464186279983,-0.036430200574463646,0.3272503656265691,0.4486026574843416,0.44955545944532477,-0.013818414040786473,0.2871120340753105,0.1948123294123598,-0.07857928428587557,1.8071307826103546,0.1449661841984136,0.28939615539256835,2,0.16852738922220933,0.08354323301967863,0.618499010821388,0.5281318926490729,0.056263785298145894,1.1193192313200282,0.0060769531516892536,0.03382521839413533,0.2059908288148996,-0.4687493551461245,0.09857216988564166,0.08536151803287714,-0.10729806016492419,55,0.5878946623666008,0.6695759328639739,0.16785060498867246,-0.2557816604222734,-0.1469776414457945,1,0.16579971214178515,0.12742007140662992,0.9350489426129294,0.38390984546225576,0.09857216988564166,0.08536151803287714,-0.4494913491839822,-0.9990505768027749,-0.9990505768027749,-0.9985617418013836,-11.004858925333414,0.03382521839413533,0.03382521839413533,0.0510705189168451,0.2557816604222734,0.1252388413955257,0.05382558227990887,0.23699802164277597,0.49277968206504935,-0.2871120340753105,0.2920883812585792,0.029857185333854192,-0.05382558227990887,0.05153439907431924,-0.47876925982324703,0.6379736915131443,0.25515156763490665,0.4607103578570622,0.2841380745080311,-0.1252388413955257,-0.07188822980849481,0.13486740543522152,0.23720985162018693,0.3128854315424298,0.13486740543522152,-0.6707737580209869,2.050027210766353,0.162842187431135,0.3644468261856041,0.14048500397583588,-0.023976236595131442,1.1140976118949935,0.05382558227990887,86.00615968070966,0.156250904004338,0.1232448930462264,1.6219317873030714,5.957560762392927,0.8773436475628885,0.7528834678749955,1.6219317873030714,1.8071307826103546,0.5559862983912253,0.15134442394474104,-0.058712500000000244,4.4492980304955525,0.23699802164277597,0.8584547967482681,-0.0974780816540959,-0.05382558227990887,-0.7209078801080612,0.08327828144853873,-0.1252388413955257,-0.15443788551147097,-12.649450860864038,0.6052269515663229,2007,"{""type"":""Point"",""coordinates"":[114.693,37.88889999999999]}"
1_1_LT05_124034_20070212,0.40942156231086957,0.5995904644157287,0.14702935926795252,0.028547661698012265,0.01830863909125105,0.1551678441094437,0.8901756932973318,0.286276997299873,0.21282542249047015,0.32891256579680783,-0.10002651324331917,0.34479847370661226,0.3470505664454005,0.028547661698012265,-0.8084856470940167,0.029775975100579232,1.0138706460238736,12,-0.23183554169825618,0.634911288709745,1.5752737454683114,0.6537711413683504,0.6640901960458643,1.0157607181794415,1.2389678958671986,0.01582846886912323,1.002230923096021,-0.34079849335651824,0.04537779410343067,0.018096892594707422,0.014953290978399068,-0.08293058259212185,0.09788387357052095,0.015397530707327356,1.4437564825207376,-0.31403655865717134,0.3381604144131944,0.04491061302332259,0.18242506051390714,0.01081709796635825,0.014659047260654763,0.011964203515938014,-0.31674466705675247,1.0297759751005793,0.012176515645003988,0.3934414152807225,2,0.016664289966084978,0.006087497847360508,0.5112333398517055,0.500252679617806,5.053592356119252E-4,1.001011231632623,1.3933764021310682E-4,0.22333719689675333,0.09459001293952189,-0.4139593964421853,0.03124097001270652,0.02172336676755227,0.015618654042546953,55,0.4734537079012147,0.560313590994479,0.3327771266874574,0.2093688619948452,-0.2911860044758277,2,0.012170881321073164,0.018602373857862817,0.634911288709745,0.032136176342660236,0.03124097001270652,0.02172336676755227,0.4562663926776066,-0.9973022786897657,-0.9973022786897657,-0.998207761887049,6.45511300625834,0.22333719689675333,0.22333719689675333,0.19976436091040606,-0.2093688619948452,-0.31968347502674577,-0.007809994111559311,0.022466679703411062,-0.18690218229143407,-0.014659047260654763,0.4419375240066398,0.013896599785067455,0.007809994111559311,0.008092265626976682,-0.4527374407199378,0.7634039425183003,0.3317582135552305,0.3416276664716238,0.32661411997314566,0.31968347502674577,0.312649750345403,0.11822702464575949,0.21135562562023077,0.2683557737915123,0.11822702464575949,-0.3866781103852404,1.0113519759622074,0.01830863909125105,0.3329270197899977,0.018857623028599516,0.02170406701996662,0.9845180727540188,-0.007809994111559311,7.9243270087737665,0.023487268191869366,0.018572067431432086,1.045967360649108,2.73335438180132,0.6552190316866415,0.6864955740775797,1.045967360649108,1.0297759751005793,1.171792547506902,0.024056344166253203,0.7618132465057218,1.1663228716645495,0.022466679703411062,0.7228183644697265,0.015390173776073051,0.007809994111559311,-0.8106155649892162,0.01582846886912323,0.31968347502674577,0.30713394200693095,14.257562096569265,1.1787776287079887,2007,"{""type"":""Point"",""coordinates"":[114.693,37.88889999999999]}"
1_1_LT05_124034_20070316,0.4587700532585292,0.6711829892139308,0.18516793815834368,0.03126981569949461,0.03023113202384686,0.18644061926001584,0.9313573451397711,0.35125988167090205,0.1836862897077509,0.330234602874543,-0.13074474362063945,0.35486791057593836,0.35654199302603434,0.03126981569949461,-0.8075615948360798,0.02421165536788611,0.9742673184597663,16,-0.3061950911002273,0.5621786906263495,1.779149025444384,0.575728530582585,0.6052573357264607,1.0512912595131745,1.3256784536237738,0.02665668996188055,1.0281327338641684,-0.3765337255427148,0.08086002642666926,0.030180771071746847,0.03167213786531134,-0.05475982020330371,0.08643195806861506,0.019390644853875507,-1.4396786384764162,-0.31406392753581047,0.3432546219600454,0.07376088032981312,0.19187337903272358,0.022156220765903848,0.0119452684575042,0.009820410308146009,-0.31156542879869775,1.0242116553678862,0.010156184912054162,0.4785297394936372,2,0.04267258764460292,-0.005668861516346463,0.5184663967783281,0.5006911567117567,0.0013823134235135194,1.0027686629559094,0.0012603775240242162,0.28029621209003097,0.07488989028439279,-0.34859189644218547,0.0661901756035578,0.04583127030435812,0.04996584791679151,55,0.496900077702075,0.6190847833910548,0.4352307045199486,0.26926229754357117,-0.27899612539826707,3,-0.011337139472090987,0.03104457155793335,0.5621786906263495,0.05323702950548034,0.0661901756035578,0.04583127030435812,0.635172529937388,-0.9974200766492457,-0.9974200766492457,-0.9984376492489191,1.9692953188820725,0.28029621209003097,0.28029621209003097,0.25093635626545113,-0.26926229754357117,-0.42549724926099114,-0.024998924348280563,0.036932793556656164,-0.232329503986915,-0.0119452684575042,0.4434301023483727,0.01933271646849635,0.024998924348280563,0.01382723498075892,-0.42563479651927266,0.7114646427185595,0.3360879908147806,0.34421728560065107,0.31969472358456824,0.42549724926099114,0.4048141049319554,0.17645756028890716,0.29989493261480177,0.4287830114631292,0.17645756028890716,-0.3510530146338804,0.9665073118624125,0.03023113202384686,0.3265107751654116,0.031376815182447254,0.0443096011008866,0.9512314762439226,-0.024998924348280563,6.78045102071505,0.026292282854331567,0.030964383271319694,1.076739272591976,2.7486262527064715,0.6451696683605129,0.7563123279221319,1.076739272591976,1.0242116553678862,1.226366819400713,0.04023636909992794,1.454742662007626,2.3123383735705203,0.036932793556656164,0.7327511807216698,0.04931133503903301,0.024998924348280563,-0.8055867712621801,0.02665668996188055,0.42549724926099114,0.4095359011604777,19.124694742693777,1.2195766385890026,2007,"{""type"":""Point"",""coordinates"":[114.693,37.88889999999999]}"
1_1_LT05_124034_20070401,0.3918639575651803,0.6059884123064211,-0.15120287005747182,0.3689612420963528,0.2135407958180059,0.36087223076656916,0.24883322903430746,-0.2886142590533673,0.08788911372299878,0.29042710172004493,-0.08388239085969636,0.19883594405205965,0.21076774906764706,0.3689612420963528,-0.643459181590053,0.8070349634627074,1.870547577733797,1,-0.18223242329042474,0.6620094489099048,1.5106000351028945,1.1962696263453787,1.1556846541230694,0.966094467908823,1.2579976782644746,0.1598530273189326,0.47491278535770587,-0.19374317764680296,0.29246920917868974,0.21159343830575655,0.027308268742058397,-0.04428301207115638,0.0715912808132148,0.17623472257518003,0.5995296480517855,-0.00712819931649007,0.34866226587164856,0.5058517277834959,0.5183770277315596,0.034095673186457,0.2875033477320646,0.2254512834687733,-0.05936800630005342,1.8070349634627072,0.2113825883237073,0.3992071985326508,2,0.18717868354601677,0.10821424841351868,0.6357949957528686,0.5368194808232538,0.07363896164650773,1.158994066475833,6.10914957362929E-4,0.20336861859947436,0.11504872144043532,-0.6057808767471411,0.21883321448538742,0.1687838225680383,-0.03450353771193948,55,0.4327729836233193,0.5462678183234956,0.3416756084586998,-0.08935756821531242,-0.10975395739141,4,0.21390357378542624,0.20747262374357808,0.6620094489099048,0.45004629200162904,0.21883321448538742,0.1687838225680383,-9.78511387061817E-4,-0.9985104922703278,-0.9985104922703278,-0.9982788492558573,-37.10586906653779,0.20336861859947436,0.20336861859947436,0.2098590659648691,0.08935756821531242,-0.06007825385134626,0.017257520783312386,0.2715899915057372,0.3609475597210496,-0.2875033477320646,0.29187315874736447,0.0911285270397656,-0.017257520783312386,0.10163644354621326,-0.2097019041655334,0.7074868800834895,0.26026988316215316,0.47031599684997333,0.26941411998787346,0.06007825385134626,0.07725529728347173,0.1486376117182864,0.2587904147717464,0.3492162521946703,0.1486376117182864,-0.647263484702441,1.8809234995471582,0.2135407958180059,0.3609106324083065,0.2083612339824883,0.07398666927277485,1.035147575489307,0.017257520783312386,24.98557200825723,0.2608340420458244,0.2012521107690293,1.7457667627865368,4.456124738026138,0.8018005484690723,0.9403036559110904,1.7457667627865368,1.8070349634627072,0.6103283706471095,0.2594064404203575,1.820469599745868,9.300024078780176,0.2715899915057372,0.8783998100834554,-0.02920067190418913,-0.017257520783312386,-0.7027431666989429,0.1598530273189326,0.06007825385134626,-0.031221548009822308,-12.605037627064803,0.6776369838483325,2007,"{""type"":""Point"",""coordinates"":[114.693,37.88889999999999]}"
1_1_LT05_124034_20070417,0.5858250170205156,0.7993728201952847,-0.38555580367318304,0.6479118553266047,0.44595507720889455,0.4351967459052435,-0.055331298443456106,-0.4378733132147395,-0.12539333862770013,0.2976226650736818,-0.31282109275318276,0.08255749963369881,0.08675439835249725,0.6479118553266047,-0.3621867291515702,2.7803448954428474,3.421725754996495,17,-0.4150065723460836,0.39576038420300036,2.5281164223669457,1.4956730141843735,1.6531182537889098,1.1049912877451005,1.9910740049198556,0.2613745711562897,0.19751417492417903,-0.24224307554314464,0.5077457252109037,0.4239247928850312,0.02612524459974587,0.010039006353240164,0.01608623824650571,0.2614680781448539,0.9318578108026344,0.3529238779996381,0.3686881519706795,0.8913213049767641,0.7110007455700603,0.07746998729795478,0.5814644303685235,0.424998266989125,0.3296322349938124,3.780344895442847,0.3523301035488252,0.6423161845074288,2,0.5804468813825563,0.05714117535811266,0.806732364556577,0.6797819020308596,0.3595638040617193,2.1237321692504154,0.0049853525333035656,0.432971723544238,-0.011097719019053539,-0.45674901207115626,0.3898186387547648,0.3715828617388661,0.09935806133869572,55,0.6567110871257208,0.7908979379784637,0.6353471073973812,-0.1984581567670706,0.05969754938487148,4,0.11389854245369029,0.4088384768496196,0.39576038420300036,1.3960753447369687,0.3898186387547649,0.3715828617388662,-0.36695867287621947,-0.9994249009075473,-0.9994249009075473,-0.9990504023895591,38.41529571833122,0.432971723544238,0.432971723544238,0.44917520726893073,0.1984581567670706,-0.08546867169192697,-0.04981118354560302,0.6134647291131543,0.8119228858802249,-0.5814644303685235,0.13019456329731208,0.10664367192747572,0.04981118354560302,0.2108832013254032,0.17852182102912012,0.7054251219235738,0.1759284453130096,0.6648161174969063,0.15925543719008411,0.08546867169192697,0.03581000437642895,0.2792275952115986,0.43652150069045004,0.77498924904574,0.2792275952115986,-0.7667687713964523,3.3676712678687455,0.44595507720889455,0.33368918295563865,0.4004135939105312,0.15559957159840648,0.9052149417227584,-0.04981118354560302,99.19557760648071,0.381399370334322,0.36654306707488643,4.177603262514161,11.240183900777112,0.9177282281688296,2.1623925808944597,4.177603262514161,3.780344895442847,0.3427341939413117,0.4684066805856415,1.3521419790343074,16.027070584498095,0.6134647291131543,1.0551977886060082,0.08637525724291585,0.04981118354560302,-0.41080000989046195,0.2613745711562897,0.08546867169192697,-0.021346926199193886,-18.098996921855147,0.36130193703221203,2007,"{""type"":""Point"",""coordinates"":[114.693,37.88889999999999]}"
