system:index,afri1600,afri2100,andwi,arvi,atsavi,avi,aweinsh,aweish,bai,bcc,bi,bitm,bixs,bndvi,bwdrvi,cig,cvi,day,dbsi,dsi,dswi1,dswi2,dswi3,dswi4,dswi5,dvi,ebi,embi,evi,evi2,exg,exgr,exr,fcvi,gari,gbndvi,gcc,gdvi,gemi,gli,gndvi,gosavi,grndvi,grvi,gsavi,gvmi,hour,iavi,ikaw,ipvi,kipvi,kndvi,krvi,kvari,lswi,mbi,mbwi,mcari1,mcari2,mgrvi,minute,mlswi26,mlswi27,mndvi,mndwi,mnli,month,mrbvi,msavi,msi,msr,mtvi1,mtvi2,muwir,nbli,nblioli,ndbai,nddi,ndii,ndmi,ndpi,ndponi,ndsoi,ndti,ndvi,ndvimndwi,ndwi,ndwins,ndyi,ngrdi,nirv,nli,nmdi,normg,normnir,normr,nrfig,nrfir,nsds,nsdsi1,nsdsi2,nsdsi3,nwi,ocvi,osavi,rcc,rdvi,rgbvi,rgri,ri,ri4xs,sarvi,savi,savi2,sevi,si,slavi,sr,sr2,swm,tdvi,tgi,trivi,tsavi,tvi,vari,vig,wdrvi,wdvi,wi1,wi2,wi2015,wri,year,.geo
1_2_LE07_043034_20160120,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,41,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,"{""type"":""Point"",""coordinates"":[-121.49929798545288,38.09920151119328]}"
1_2_LE07_043034_20160205,0.14473508754742265,0.41460298809672586,-0.4901733436440383,0.5724963962034243,0.27085395809113066,0.254416875584358,-0.16913277035623406,-0.3678868097964376,0.08358843193384223,0.26767444121500467,0.08208326262430048,0.05700372249180222,0.06202410294356633,0.5724963962034243,-0.4596133835772729,1.691156788579428,2.6615940775839597,5,0.04425183366773102,1.1362855896608945,0.8876212590761569,3.037216563091383,3.0802497581705457,1.0159460741803272,0.9184786305947206,0.10540582061068701,0.12129126362774856,0.2133071084791565,0.22015244483057989,0.20042216647532735,0.017412468193384215,-6.18830788804086E-4,0.0180312989821883,0.1107227088634436,0.7286846393874618,0.21639815654272448,0.36824601703451515,0.7555850224613396,0.4685712388839824,0.07627790108940863,0.45653732454425855,0.2690792372024946,0.14810003538621114,2.691156788579428,0.17059706950251602,0.25671524372593374,18,0.3637412394734585,0.1520024839978118,0.7300741726145026,0.6053624471700552,0.21072489434011044,1.543214354756966,0.003486145185863418,-0.06147919123114964,0.26449609341475383,-0.4315217334605599,0.15254451946564881,0.15533340549751593,0.011682598348608526,41,0.6302451348945816,0.7158835561951721,0.09566662191094162,-0.5044001788967364,-0.06184142641825354,2,0.2959640941261458,0.18332398878991188,1.1362855896608945,0.894014005570189,0.15254451946564881,0.15533340549751593,-0.5311465045119168,-0.9995761666036417,-0.9995761666036417,-0.9987029023954911,36.68111345470956,-0.06147919123114964,-0.06147919123114964,-0.026741727370964745,0.5044001788967364,0.37732921797679075,-0.005983774333321341,0.46014834522900533,0.9645485241257419,-0.45653732454425855,0.19890447150065774,0.15804660040836133,0.005983774333321341,0.07728084832822013,-0.3735549960614363,0.5336865724525435,0.2138795497745516,0.5740500176931056,0.21207043253234276,-0.37732921797679075,-0.38245049120041896,0.15665402817718088,0.27034888041135846,0.3728023204514049,0.15665402817718088,-0.8322065138793313,2.658588835303217,0.27085395809113066,0.36407954175048024,0.22020556962992743,0.1634854674518389,0.9914278725476008,-0.005983774333321341,255.4449338747908,0.20090127613521547,0.171496029749565,2.7415665956712414,12.244089004342046,0.9435528892453869,0.8447111685276693,2.7415665956712414,2.691156788579428,0.3019653326024823,0.20593379204701445,1.0325663963104321,6.343839949109414,0.46014834522900533,0.9795130999280347,0.010453931827449385,0.005983774333321341,-0.5710561723423029,0.10540582061068701,-0.37732921797679075,-0.5054377982845915,-17.464486100508907,0.34802443865751215,2016,"{""type"":""Point"",""coordinates"":[-121.49929798545288,38.09920151119328]}"
1_2_LE07_043034_20160308,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,41,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,"{""type"":""Point"",""coordinates"":[-121.49929798545288,38.09920151119328]}"
1_2_LE07_043034_20160324,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,42,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,"{""type"":""Point"",""coordinates"":[-121.49929798545288,38.09920151119328]}"
1_2_LE07_043034_20160425,0.5418369319793868,0.816542146834575,-0.731543339977371,0.889377863686147,0.6515686890073702,0.5732105528415464,-0.4578324761450381,-0.8513472884860049,-0.21857331106870226,0.2286900045472751,-0.3382071624057927,0.041276020377949404,0.04680988487787174,0.889377863686147,0.2624328868213855,7.052532282215426,4.753850295246143,25,-0.2959838232989663,0.4502854296535146,2.2219466208546472,3.624970399759943,6.173692075311507,1.7059457620434704,2.1490078009081706,0.4250053276081424,0.05509190241654338,0.11498392529998502,0.7288708945509889,0.6902637495005747,0.05349439249363868,0.06680260082697201,-0.013308208333333335,0.41944849660729433,0.9670063763038099,0.6908830631344641,0.485169256787612,0.9892178353788065,0.9060951541645206,0.3065908269470687,0.7789425678222822,0.5944384468584802,0.67002953879418,8.052532282215427,0.5299492205650072,0.6644721578047749,18,0.8383608510019215,0.11135518955339996,0.9316828391937436,0.8161664778032829,0.632332955606566,4.444892340542394,0.11772272995707014,0.3791060237506557,0.04496662581705091,-0.6772399013994911,0.6484934122137405,0.7004196924483439,0.48312265438391117,42,0.4478803249323241,0.7080479691501119,0.6639774786450361,-0.5673818550885207,0.2841596345961301,4,0.21681146423173414,0.6961833407918918,0.4502854296535146,3.3132224701899573,0.6484934122137405,0.7004196924483438,-0.025318427374632253,-0.9997702698416211,-0.9997702698416211,-0.9985894053541758,19.7275708462577,0.3791060237506557,0.3791060237506557,0.4159026040080841,0.5673818550885207,0.2375880170650313,-0.25875732717023503,0.8633656783874869,1.4307475334760078,-0.7789425678222822,0.021581587697744743,0.36009022182786854,0.25875732717023503,0.39602180945828136,0.7241380526128816,0.6022659142669708,0.10375775762222236,0.83501476939709,0.061227472980687675,-0.2375880170650313,-0.4679072737106221,0.3809983903712377,0.5515980215466331,1.2330307728711971,0.3809983903712377,-0.931501099362471,4.3721411130958385,0.6515686890073702,0.2861407386651129,0.6057425411913824,0.566286649917054,0.590342731101342,-0.25875732717023503,108.81720811715853,0.5812325036346966,0.5695956914310847,13.737211385964649,31.1208972146855,0.9607537714735764,3.64535585067172,13.737211385964649,8.052532282215427,0.12608459938605268,0.7390643867331994,2.6249561704834603,26.435851463104324,0.8633656783874869,1.1676232429268483,0.3709427222277908,0.25875732717023503,0.15518521021191026,0.4250053276081424,-0.2375880170650313,-0.5496621441822512,-36.39870458015267,0.1362448726295529,2016,"{""type"":""Point"",""coordinates"":[-121.49929798545288,38.09920151119328]}"
1_2_LE07_043034_20160511,0.5547860223995038,0.8232658733547438,-0.6881340695499929,0.8547517313099467,0.6359513065244838,0.5794950114217027,-0.4382282124681935,-0.8477463629134862,-0.2247562977099237,0.26014820469884953,-0.34527451947836957,0.048636970117566396,0.05347950146444066,0.8547517313099467,0.12267673089335,6.610867698156707,5.2660807867523225,11,-0.298266314179103,0.4339409339251082,2.306295676241541,3.301489535418061,4.774388464255355,1.4467380669170582,2.157223823601461,0.4299532633587787,0.08438963657342935,0.06805226711966664,0.7396012478289888,0.6818961853935898,0.044262334605597975,0.05047581933842239,-0.006213484732824432,0.4255803901611535,0.97120367666122,0.6532139215531199,0.43733647543438653,0.9835058386240452,0.9076056699286127,0.21690111965763842,0.7676263731718379,0.5909466966830085,0.6360237020773152,7.6108676981567065,0.5352024294832456,0.6738272154461461,18,0.8120776531042233,0.07564268977742399,0.9165622569611684,0.8002881862584912,0.6005763725169821,4.009778581696684,0.06127248448796604,0.39485857233220917,0.03303430421189459,-0.688576723918575,0.6489707954198473,0.6655240679843109,0.3522498188016807,42,0.43954242635619717,0.7039058316278469,0.6753631374654328,-0.5348581997432342,0.28527694110672913,5,0.1499960208900438,0.6783860475818575,0.4339409339251082,2.8878185690818037,0.6489707954198474,0.6655240679843109,-0.36461180575579116,-0.9997068444999773,-0.9997068444999773,-0.9986032737648385,24.59475047975007,0.39485857233220917,0.39485857233220917,0.42902066704539976,0.5348581997432342,0.1903621051452068,-0.18214898323950876,0.8331245139223373,1.3679827136655716,-0.7676263731718379,0.027805494755489126,0.254126737783766,0.18214898323950876,0.3941078427344446,0.6771367947333676,0.6130283374968338,0.10752841158949476,0.8180118510386576,0.07445973737184763,-0.1903621051452068,-0.36009402619261077,0.3831191343693303,0.5534843714984011,1.248198170155628,0.3831191343693303,-0.9082441527072014,4.9654401212051145,0.6359513065244838,0.3025153198667639,0.5984984829511893,0.4165186594009261,0.692263548365708,-0.18214898323950876,124.21560347777314,0.577406148471975,0.5671873242912536,11.016623891929955,24.542397740833128,0.9525206573392675,3.5266100422233637,11.016623891929955,7.6108676981567065,0.14629281455497892,0.7364791724122853,2.177565458015267,26.562275190839696,0.8331245139223373,1.1546043234755248,0.28120519102695946,0.18214898323950876,0.04754301094613272,0.4299532633587787,-0.1903621051452068,-0.42405787393549277,-36.372110470737915,0.1551630256946521,2016,"{""type"":""Point"",""coordinates"":[-121.49929798545288,38.09920151119328]}"
1_2_LE07_043034_20160527,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,42,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,"{""type"":""Point"",""coordinates"":[-121.49929798545288,38.09920151119328]}"
1_2_LE07_043034_20160628,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,42,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,"{""type"":""Point"",""coordinates"":[-121.49929798545288,38.09920151119328]}"
1_2_LE07_043034_20160714,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,42,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,"{""type"":""Point"",""coordinates"":[-121.49929798545288,38.09920151119328]}"
1_2_LE07_043034_20160730,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,42,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,"{""type"":""Point"",""coordinates"":[-121.49929798545288,38.09920151119328]}"
