system:index,afri1600,afri2100,andwi,arvi,atsavi,avi,aweinsh,aweish,bai,bcc,bi,bitm,bixs,bndvi,bwdrvi,cig,cvi,day,dbsi,dsi,dswi1,dswi2,dswi3,dswi4,dswi5,dvi,ebi,embi,evi,evi2,exg,exgr,exr,fcvi,gari,gbndvi,gcc,gdvi,gemi,gli,gndvi,gosavi,grndvi,grvi,gsavi,gvmi,hour,iavi,ikaw,ipvi,kipvi,kndvi,krvi,kvari,lswi,mbi,mbwi,mcari1,mcari2,mgrvi,minute,mlswi26,mlswi27,mndvi,mndwi,mnli,month,mrbvi,msavi,msi,msr,mtvi1,mtvi2,muwir,nbli,nblioli,ndbai,nddi,ndii,ndmi,ndpi,ndponi,ndsoi,ndti,ndvi,ndvimndwi,ndwi,ndwins,ndyi,ngrdi,nirv,nli,nmdi,normg,normnir,normr,nrfig,nrfir,nsds,nsdsi1,nsdsi2,nsdsi3,nwi,ocvi,osavi,rcc,rdvi,rgbvi,rgri,ri,ri4xs,sarvi,savi,savi2,sevi,si,slavi,sr,sr2,swm,tdvi,tgi,trivi,tsavi,tvi,vari,vig,wdrvi,wdvi,wi1,wi2,wi2015,wri,year,.geo
1_2_LE07_043034_20200709,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,10,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,"{""type"":""Point"",""coordinates"":[-121.63649560666528,38.096900615049705]}"
1_2_LE07_043034_20200725,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,9,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,"{""type"":""Point"",""coordinates"":[-121.63649560666528,38.096900615049705]}"
1_2_LE07_043034_20200810,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,8,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,"{""type"":""Point"",""coordinates"":[-121.63649560666528,38.096900615049705]}"
1_2_LE07_043034_20201013,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,3,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,"{""type"":""Point"",""coordinates"":[-121.63649560666528,38.096900615049705]}"
1_2_LE07_043034_20201029,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,"{""type"":""Point"",""coordinates"":[-121.63649560666528,38.096900615049705]}"
1_2_LE07_043034_20201114,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,1,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,"{""type"":""Point"",""coordinates"":[-121.63649560666528,38.096900615049705]}"
1_2_LE07_043034_20201130,0.16204629701572917,0.44436760738138525,-0.46282993419005214,0.5320412083115068,0.2592459073381444,0.24936064256720616,-0.17612116810344813,-0.35104022413793096,0.07913429310344824,0.2906976744186047,0.0628780367703155,0.05789205573018345,0.061357183157312555,0.5320412083115068,-0.5067183898352731,1.799021692896639,3.039992339703221,30,0.06615060896558785,1.09299775459888,0.9157778522308527,3.059324425409582,2.8168213848742596,0.9207331401268903,0.9169036901777312,0.10067750000000003,0.14580679445068395,0.21533249207691785,0.21500387606004376,0.19100751185858267,0.0034650000000000514,-0.020745499999999903,0.024210499999999954,0.1068925,0.7722977644618582,0.20285152858383204,0.34001504107370134,0.7382785633356397,0.46141698729003866,0.014958879271267515,0.47354867603426065,0.27586994097120304,0.14593945093122276,2.799021692896639,0.1728743243105157,0.2870401159847434,18,0.35998677317020283,0.11907788052767637,0.720448001401373,0.5959886304821002,0.19197726096420023,1.4751778673785432,0.0033709692515920963,-0.04419300928260305,0.26335747287622163,-0.4175744310344827,0.13708200000000006,0.1379673052031826,-0.08239779440291504,0,0.6458421841558288,0.7364907963021403,0.1312694817638253,-0.5070466117683338,-0.06741343629391533,11,0.2348260355088213,0.17438816612516578,1.09299775459888,0.8338825019021054,0.1370820000000001,0.13796730520318262,-0.854421508692783,-0.9995509123701791,-0.9995509123701791,-0.9987355349926044,-28.005201055159926,-0.04419300928260305,-0.04419300928260305,-0.010910220514693083,0.5070466117683338,0.363571534161902,0.041269064513497704,0.440896002802746,0.9479426145710799,-0.47354867603426065,0.18954822818115666,0.07819307498280213,-0.041269064513497704,0.07253290366108675,-0.40452029881445745,0.5155317526825172,0.20470356729270614,0.5729697254656114,0.22232670724168246,-0.363571534161902,-0.3273216896733201,0.17463317446961715,0.29552328214901974,0.4291556159768628,0.17463317446961715,-0.8070450056169839,3.0804281626023196,0.2592459073381444,0.36928728450769394,0.21068532773350276,0.03704354833489493,1.0860910250957032,0.041269064513497704,341.4657696851435,0.18812319280517795,0.16392348256499084,2.577152032584007,11.67874206939767,0.9423633459722258,0.8667971373667893,2.577152032584007,2.799021692896639,0.3167141012475169,0.19645673452535845,0.3344000000000019,5.838250000000004,0.440896002802746,0.969997939586856,-0.06992813709231557,-0.041269064513497704,-0.5901851188715377,0.10067750000000003,-0.363571534161902,-0.429369469608774,-16.65950048275862,0.3561780871722819,2020,"{""type"":""Point"",""coordinates"":[-121.63649560666528,38.096900615049705]}"
1_2_LE07_043034_20201216,0.2129899169755711,0.4097756892731463,-0.01210572104219379,0.06105118979398405,0.017994114630886175,0.17387315299727193,0.8841997395833333,-0.013445520833333287,0.4741320486111111,0.32145406360423934,0.01492435936687849,0.4620634184368854,0.47022147055617897,0.06105118979398405,-0.7969203186398344,0.10029108533337022,1.1612229584640335,16,0.018261821895112173,0.9831834395644128,1.017430641845753,1.0816478786399049,1.0250867455864867,0.9478375619226048,0.983003134009014,0.0206405902777778,1.3001664493720895,-0.15906935046977974,0.048591240969834124,0.019379233547308132,-0.012931458333333295,-0.18284367013888886,0.16991221180555557,0.041460555555555556,0.10160177778313831,-0.2841489861578438,0.33017666068780216,0.0418019212812993,-0.11555867974317063,-0.007141016072707538,0.047718454017821495,0.04089423708280668,-0.30264251583052887,1.1002910853333703,0.04671890212465894,0.15501076649183104,17,-0.016274951059665515,0.04019279250690006,0.5104560522792924,0.500233696078122,4.6739215624388606E-4,1.0009353495340547,0.0015491005963245686,0.008559766229372011,0.19708287337930816,-0.9872014930555555,-0.009481054166666595,-0.005967581364315623,-0.05361874881081185,59,0.002061219240961044,0.08211927523105021,0.08860774747494785,-0.039173926453696835,-0.26416829352973725,12,0.08025184522692637,0.020774507050196154,0.9831834395644128,0.029910719829239398,-0.009481054166666595,-0.005967581364315623,0.07937601582589497,-0.9964779297904741,-0.9964779297904741,-0.9963892826391859,-2.9299564704286807,0.008559766229372011,0.008559766229372011,0.009778571831085601,0.039173926453696835,-0.04107495363515997,0.026832642730842887,0.020912104558584665,0.06008603101228149,-0.047718454017821495,0.42375485029019816,0.013372272534380295,-0.026832642730842887,0.01055144105418138,-0.311733011947752,0.7459133045333761,0.3169222622548536,0.34867874208473554,0.3343989956604109,0.04107495363515997,0.0678291478842516,0.08012292059771305,0.14828039128878648,0.17432862038990465,0.08012292059771305,-0.5223364174131608,1.1713037200145429,0.017994114630886175,0.3483692757079585,0.020774803624885204,-0.013463562586006395,1.0552613878807022,0.026832642730842887,5.339176458320811,0.059467079998931485,0.020773260073029227,1.0427818767269963,2.2470121392491293,0.5379732587971331,0.5567749947650881,1.0427818767269963,1.1002910853333703,0.9046012494704109,0.027833499131506536,-0.14762621527777597,0.23321736111111357,0.020912104558584665,0.7217324463161707,-0.05110578429918033,-0.026832642730842887,-0.8111397885898107,0.0206405902777778,0.04107495363515997,0.027717015779843247,-6.023949618055555,0.9419550284875475,2020,"{""type"":""Point"",""coordinates"":[-121.63649560666528,38.096900615049705]}"
1_2_LE07_043034_20210101,0.1817800406887293,0.370594506922539,-0.03247420530258427,0.05287982939981773,0.01887250838315943,0.17861493447148105,0.9056036111111107,-0.04766065104166667,0.5130738541666667,0.32349047808501746,0.027302035676748368,0.47280732348794524,0.4797032999644511,0.05287982939981773,-0.7999027383529438,0.08215996899531558,1.1209079400762767,1,0.04140645258983122,1.0491407373546242,0.9533986857358017,1.135272667186896,1.0961065137290429,0.9654890264482986,0.9591014723788809,0.021858159722222204,1.341046485815548,-0.13972607387119032,0.05483298489744639,0.02037757327299356,-0.0043351388888889335,-0.16760098611111116,0.16326584722222226,0.03726314814814812,0.1412367979843053,-0.2917005441391891,0.3323136356757778,0.043774741527862183,-0.1301573911585555,-0.002299895645047929,0.039447638958143655,0.03391669964873988,-0.3058548513441092,1.0821599689953156,0.039073187839177854,0.11073154427733277,17,-0.007268750764232733,0.031018229202332093,0.5109489815437324,0.5002405102094754,4.810204189507149E-4,1.000962509321661,6.305755374937692E-4,-0.023917392109743918,0.20701399627786765,-1.0588534027777778,0.005189695833333292,0.003239344960720233,-0.035118704771149374,58,-0.04371676291628414,0.02272295850404116,0.042531794881557304,-0.06330441567729596,-0.26087940130056747,1,0.06197180139269337,0.021877490524126984,1.0491407373546242,0.03131425490741546,0.005189695833333292,0.003239344960720233,0.04443431892425874,-0.9964108336011192,-0.9964108336011192,-0.9960667944294378,-3.5432385009787466,-0.023917392109743918,-0.023917392109743918,-0.01952667329439236,0.06330441567729596,-0.0030912129785446185,0.017565121332587526,0.021897963087464726,0.08520237876476068,-0.039447638958143655,0.42830379857302103,0.013460688801540213,-0.017565121332587526,0.01116919878679817,-0.30487079532122724,0.7690238293464974,0.3207303988564002,0.3470725743279454,0.3321970268156545,0.0030912129785446185,0.02065443654967454,0.0663843091549938,0.12447452371043595,0.14225280488684364,0.0663843091549938,-0.5347571434571896,1.1272379168946787,0.01887250838315943,0.3441958862392047,0.0218776814194284,-0.00410503923509466,1.0357726038220514,0.017565121332587526,4.834024746942073,0.052036729074189235,0.021877301452106306,1.0447796409646253,2.235374055381402,0.527208855439278,0.5331819347385853,1.0447796409646253,1.0821599689953156,0.8900035189169129,0.029344878113664468,0.16114253472221982,0.6374881944444428,0.021897963087464726,0.7224245593858247,-0.03367035009975572,-0.017565121332587526,-0.8108103305524262,0.021858159722222204,0.0030912129785446185,-0.010369935557927982,-9.259270416666675,0.9181180081459337,2021,"{""type"":""Point"",""coordinates"":[-121.63649560666528,38.096900615049705]}"
1_2_LE07_043034_20210117,0.059309257262988,0.4201467310549598,-0.513396897267237,0.6227403043135192,0.223269239075224,0.22505395856389793,-0.2949425535714285,-0.38687476785714286,0.11559657142857144,0.22975185411363322,0.18178960198190552,0.05165949975426641,0.05832686056303659,0.6227403043135192,-0.395904733254033,1.890742123684274,3.6658930437317983,17,0.19637085803689236,1.3456552332710863,0.7433300992187647,3.890310109390078,3.1153174207169982,0.8066404110199062,0.75709336463552,0.0828325,0.09758741069427,0.34985233417290545,0.1630950053919621,0.15917796900922632,0.0033882142857143086,-0.029446092857142826,0.03283430714285713,0.09742840476190476,0.537528209556577,0.2661495386564605,0.34126700956679673,0.6782902341452757,0.42839395600940217,0.017347102524755124,0.48480702591024044,0.26845721262393085,0.12189045274581428,2.8907421236842743,0.1606619867628098,0.27620016170989187,17,0.22634764533916685,0.30118913201652336,0.6967426361742175,0.5777348345977812,0.15546966919556232,1.3734725259058211,0.032033163438985664,-0.14728591223125745,0.350973039524631,-0.4286492142857143,0.09827106000000004,0.09894045594057584,-0.21891958381194465,57,0.62248923884521,0.7524890265472781,0.101198373515522,-0.5898561303853271,-0.07869139175099742,1,0.5393848162727478,0.14409697869172744,1.3456552332710863,0.7198863483582616,0.09827106000000004,0.09894045594057584,-0.39447621203950534,-0.999551248763046,-0.999551248763046,-0.9986213064776027,-3.392527579745499,-0.14728591223125745,-0.14728591223125745,-0.11288828776121224,0.5898561303853271,0.40356099491742464,0.1117143528239256,0.3934852723484348,0.9833414027337618,-0.48480702591024044,0.18335613574936774,0.19810092480762445,-0.1117143528239256,0.05780796951233218,-0.49261235691632876,0.30940589918100914,0.19470198626495375,0.5609452263729072,0.24435278736213917,-0.40356099491742464,-0.30499557556897666,0.24479032472912454,0.3927973422343401,0.6504259511117931,0.24479032472912454,-0.8626058888819415,3.8129108206003006,0.223269239075224,0.42898113631957013,0.18041615140415582,0.08840163224862106,1.2628807780954918,0.1117143528239256,621.8348409608506,0.19148690484231187,0.13675525109817033,2.3197465915998365,11.517062693810947,0.9499438781478075,0.801076032869151,2.3197465915998365,2.8907421236842743,0.24757995873419783,0.16233219348205374,0.5399553571428582,4.431290000000001,0.3934852723484348,0.9449303903853167,-0.1534375445830711,-0.1117143528239256,-0.6242726172167462,0.0828325,-0.40356099491742464,-0.555603179832507,-17.14806121428572,0.33415219888373965,2021,"{""type"":""Point"",""coordinates"":[-121.63649560666528,38.096900615049705]}"
1_2_LE07_043034_20210202,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,56,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,"{""type"":""Point"",""coordinates"":[-121.63649560666528,38.096900615049705]}"
